Zip;District;City;State;Region;Country
2043;"District #02";"Hingham, MA";"MA";"East";"USA"
2044;"District #02";"Hingham, MA";"MA";"East";"USA"
2047;"District #02";"Humarock, MA";"MA";"East";"USA"
2048;"District #02";"Mansfield, MA";"MA";"East";"USA"
2050;"District #02";"Marshfield, MA";"MA";"East";"USA"
2051;"District #02";"Marshfield Hills, MA";"MA";"East";"USA"
2052;"District #02";"Medfield, MA";"MA";"East";"USA"
2053;"District #02";"Medway, MA";"MA";"East";"USA"
2054;"District #02";"Millis, MA";"MA";"East";"USA"
2055;"District #02";"Minot, MA";"MA";"East";"USA"
2056;"District #02";"Norfolk, MA";"MA";"East";"USA"
2059;"District #02";"North Marshfield, MA";"MA";"East";"USA"
2060;"District #02";"North Scituate, MA";"MA";"East";"USA"
2061;"District #02";"Norwell, MA";"MA";"East";"USA"
2062;"District #02";"Norwood, MA";"MA";"East";"USA"
2065;"District #02";"Ocean Bluff, MA";"MA";"East";"USA"
2066;"District #02";"Scituate, MA";"MA";"East";"USA"
2067;"District #02";"Sharon, MA";"MA";"East";"USA"
2070;"District #02";"Sheldonville, MA";"MA";"East";"USA"
2071;"District #02";"South Walpole, MA";"MA";"East";"USA"
2072;"District #02";"Stoughton, MA";"MA";"East";"USA"
2081;"District #02";"Walpole, MA";"MA";"East";"USA"
2093;"District #02";"Wrentham, MA";"MA";"East";"USA"
2184;"District #02";"Braintree, MA";"MA";"East";"USA"
2185;"District #02";"Braintree, MA";"MA";"East";"USA"
2188;"District #02";"Weymouth, MA";"MA";"East";"USA"
2189;"District #02";"East Weymouth, MA";"MA";"East";"USA"
2190;"District #02";"South Weymouth, MA";"MA";"East";"USA"
2301;"District #02";"Brockton, MA";"MA";"East";"USA"
2302;"District #02";"Brockton, MA";"MA";"East";"USA"
2303;"District #02";"Brockton, MA";"MA";"East";"USA"
2304;"District #02";"Brockton, MA";"MA";"East";"USA"
2305;"District #02";"Brockton, MA";"MA";"East";"USA"
2322;"District #02";"Avon, MA";"MA";"East";"USA"
2324;"District #02";"Bridgewater, MA";"MA";"East";"USA"
2325;"District #02";"Bridgewater, MA";"MA";"East";"USA"
2327;"District #02";"Bryantville, MA";"MA";"East";"USA"
2330;"District #02";"Carver, MA";"MA";"East";"USA"
2331;"District #02";"Duxbury, MA";"MA";"East";"USA"
2332;"District #02";"Duxbury, MA";"MA";"East";"USA"
2333;"District #02";"East Bridgewater, MA";"MA";"East";"USA"
2334;"District #02";"Easton, MA";"MA";"East";"USA"
2337;"District #02";"Elmwood, MA";"MA";"East";"USA"
2338;"District #02";"Halifax, MA";"MA";"East";"USA"
2339;"District #02";"Hanover, MA";"MA";"East";"USA"
2340;"District #02";"Hanover, MA";"MA";"East";"USA"
2341;"District #02";"Hanson, MA";"MA";"East";"USA"
2343;"District #02";"Holbrook, MA";"MA";"East";"USA"
2344;"District #02";"Middleboro, MA";"MA";"East";"USA"
2345;"District #02";"Manomet, MA";"MA";"East";"USA"
2346;"District #02";"Middleboro, MA";"MA";"East";"USA"
2347;"District #02";"Lakeville, MA";"MA";"East";"USA"
2348;"District #02";"Lakeville, MA";"MA";"East";"USA"
2349;"District #02";"Middleboro, MA";"MA";"East";"USA"
